,Preprocessing Stage 1: StringIndexer,Preprocessing Stage 2: OneHotEncoder,Preprocessing Stage 3: StringIndexer,Preprocessing Stage 4: OneHotEncoder,Preprocessing Stage 5: VectorAssembler,Preprocessing Stage 6: StandardScaler,Preprocessing Stage 7: VectorAssembler,CrossValidator,Total Time
Results_num_node_1_Mean,0.5365745019199814,0.013273769959997397,0.1703237659399917,0.012567279120004732,0.006234235019982984,0.4716166877399958,0.006383901639992849,21.539708038140002,22.75668217947995
Results_num_node_1_Median,0.5286603339999658,0.0124772710000797,0.16864741650005038,0.0122596670000234,0.0059241459999554505,0.4636019380000107,0.006223311999960349,21.399822363999988,22.61244867599993
Results_num_node_1_Standard Deviation,0.054598177722434,0.0053530881236287225,0.01114089495606696,0.0019231419934525231,0.002240763983896335,0.036812966328034456,0.00121701479493883,0.614325410069877,0.7053366261057401
Results_num_node_2_Mean,1.0626386512400041,0.013297991620024681,0.45390085855998225,0.012686250900005636,0.006500084199992623,0.609850251259977,0.006521697420007458,23.15251853556,25.317914320759993
Results_num_node_2_Median,1.0124569800000245,0.01241516649997715,0.24414639599990548,0.01241458349988985,0.0061398539999117496,0.4918484375000389,0.0063381460000755,23.089828989499892,25.281615095999996
Results_num_node_2_Standard Deviation,0.4605166767870922,0.005565021227898992,0.37667664782108917,0.0021421887255698583,0.00248952069108984,0.28823622283969697,0.0010392394859201847,0.625813678406546,0.7482981963637816
Results_num_node_3_Mean,1.097853071420004,0.01326023334002452,0.9262228496599709,0.012371775040000966,0.006412993339999915,0.6770887469600165,0.006497252539975263,24.721844790500025,27.46155171280002
Results_num_node_3_Median,1.0179300839999996,0.011957562500356199,1.0022007090001352,0.01198131249998365,0.00604337450022285,0.509121750499844,0.006295749999935599,24.712415407500202,27.32626251400029
Results_num_node_3_Standard Deviation,0.42485853744942303,0.005624571660613051,0.5646432137232382,0.002367143495631516,0.0028191035938776314,0.38093541465394987,0.0013362454009172053,0.9200762801594132,0.7633365385117606
Results_num_node_4_Mean,1.1950333347199922,0.013230986600083221,0.7850728178800273,0.01250561752005519,0.006199459059989703,0.9902705430200149,0.006675241719985888,26.793270421340022,29.80225842186017
Results_num_node_4_Median,1.5189528969999628,0.0122142710001753,0.5731200205000277,0.01214058350024055,0.0057523744999343,0.7091908339998554,0.006181957999615399,26.63037978300008,29.71743663699999
Results_num_node_4_Standard Deviation,0.4314810406396816,0.005320451130494242,0.5745930186770828,0.0018804728073614685,0.0021833721084161327,0.5539303891063578,0.0022092421729423576,1.058287845762216,0.6923572251612029
Results_num_node_5_Mean,1.2614074847399934,0.013120776619998598,0.8971519636799894,0.01239413077999411,0.006413945839976751,1.1896465155999976,0.006368728260076709,28.59252083647998,31.979024382000006
Results_num_node_5_Median,1.537422645999868,0.0123151044999758,1.001204396499361,0.01216579149968305,0.0059618749996843,1.181402125999739,0.0061240420004651,28.446412242500173,31.904747701000815
Results_num_node_5_Standard Deviation,0.40602354866492196,0.005577354026585701,0.5832247807076419,0.001996546369616343,0.002223406335671857,0.5451589235512427,0.0012206761249924584,1.0379102703337315,0.8152981632045533
Results_num_node_6_Mean,1.2165005689599275,0.0134856157999638,1.0313337146600134,0.012758833339885263,0.006316596640026495,1.2370270964798147,0.0064735408200067,30.51066420139994,34.03456016809958
Results_num_node_6_Median,1.523853375500039,0.01271322950015015,1.5208860635002566,0.012277603999336799,0.0060028329999113,1.6788388340009988,0.0061810209999748,30.510159659999772,34.02012880750044
Results_num_node_6_Standard Deviation,0.4351735278942952,0.0055987075190640345,0.5921442511363493,0.0020209870504484897,0.0021139304974972634,0.5401002436974585,0.0014156813242354681,1.2176531176680103,0.978624694667114
Results_num_node_7_Mean,1.3212463130600736,0.01392664411992877,1.2038157863401284,0.013126793419978598,0.006390429979874124,1.3087965697198525,0.006416335040012143,32.18570124800004,36.05942011967989
Results_num_node_7_Median,1.5410042710000198,0.01300314549916945,1.546808584000246,0.0120884164998642,0.0059952709998469505,1.686779333499544,0.00622072900023335,32.24763445200006,36.12089064149768
Results_num_node_7_Standard Deviation,0.3817497357786355,0.0057486840518224894,0.4961197264765145,0.003297873140843064,0.002090911388198651,0.5188681850608278,0.0013370496698653289,1.1234260077478242,0.9038165686421201
Results_num_node_8_Mean,1.356419475599905,0.013481546679977276,1.0883525221601302,0.012540076600089328,0.006321147579910706,1.228671177279939,0.006481019199927632,34.309159593939945,38.02142655903983
Results_num_node_8_Median,1.542367375498543,0.012232437499733299,1.5326009590007743,0.01198129200110995,0.00592577099905605,1.6752254799994262,0.00631310449989535,34.54633891149933,38.113629871999365
Results_num_node_8_Standard Deviation,0.3274429982389549,0.006257810329256594,0.5895134725995433,0.0020786092836439928,0.0022296963712710614,0.5703185752323768,0.0013630037694050783,1.3414487286756005,1.2288321344854343
